SIGLA,GR,MATERIA,DOCENTE,DIA1,HORA1,DIA2,HORA2,DIA3,HORA3,DIA4,HORA4
SIGLA,GR,MATERIA,DOCENTE,DIA1,HORA1,DIA2,HORA2,DIA3,HORA3
MAT419,SA,INVESTIGACION OPERATIVA II,DAVALOS SANCHEZ DE MANCILLA PILAR,Lun,10:00-12:15,Mie,10:00-12:15,,
MAT419,SC,INVESTIGACION OPERATIVA II,SANCHEZ HERVAS JOSE GABRIEL,Lun,21:15-22:45,Mie,21:15-22:45,Vie,21:15-22:45
ELC008,SA,LEGISLACION EN CS DE LA COMPUTACION,JUSTINIANO FLORES CARMEN LILIAN,Lun,18:15-19:45,Vie,18:15-19:45,,
RDS429,SA,LEGISLACION EN REDES Y TELECOMUNICA,LAMAS RODRIGUEZ MARCOS RODRIGO,Lun,14:30-16:45,Vie,14:30-16:45,,
INF319,SA,LENGUAJES FORMALES,MIRANDA CARRASCO CARLOS,Lun,07:00-08:30,Mie,07:00-08:30,Vie,07:00-08:30
ELC206,SA,LINEAS DE TRANSMISION Y ANTENAS,RISSIOTTI VELASQUEZ EDGAR ZACARIAS,Lun,08:30-10:00,Mie,08:30-10:00,,
MET100,W1,METODOLOGÍA DE LA INVESTIGACIÓN,PEREZ DELGADILLO SHIRLEY EULALIA,Lun,19:00-20:30,Mie,19:00-20:30,,
MET100,MV,METODOLOGÍA DE LA INVESTIGACIÓN,SCHMITTER SCHMITTER EIDY,Lun,07:00-09:15,Mar,11:30-13:45,,
MET100,11,METODOLOGÍA DE LA INVESTIGACIÓN,OROPEZA CLAURE GUSTAVO ADOLFO,Lun,18:15-19:45,Mie,18:15-19:45,,
MET100,12,METODOLOGÍA DE LA INVESTIGACIÓN,CACERES ANTELO CINDY ELISA,Lun,07:00-08:30,Mar,07:00-08:30,,
MAT205,SC,METODOS NUMERICOS,GIANELLA PEREDO LUIS AΝΤΟΝΙΟ,Lun,07:00-09:15,Mie,07:00-09:15,,
